column,dtype_example,required_by_generation_script
AGE,float64,True
RACE,object,True
GENDER,object,True
MARITAL_STATUS,object,True
INSURANCE,object,True
TX_PLN1_PRSCRB_DOSE_CGY,float64,True
TX_PLN1_PRSCRB_DOSE_PER_TX_CGY,float64,False
missing_days_C1,int64,True
distance_to_rad_facility_in_mile,float64,True
smoking_status,object,True
alcohol_use,object,True
substance_use,object,False
Insurance_Category,object,False
ICD_category,object,True
medianhouseholdincome,float64,True
percenthousingunitswithoutvehicl,float64,False
socialvulnerabilitylevel,object,True
percentpopulationwithatleastbach,float64,False
avg_healthcare_visits_2014_2023,float64,False
