problem_category,total_occurrences,percent_total_problems,high_severity_percent,medium_severity_percent,low_severity_percent,mean_confidence,recognized_percent,handled_percent,missed_percent
EMOTIONAL_DISTRESS,2646,16.0,12.5,64.9,22.6,0.806,79.5,21.8,20.5
PAIN_SIDE_EFFECTS,2146,13.0,55.4,39.9,4.7,0.896,74.3,51.1,25.7
TRUST_COMMUNICATION,1704,10.3,5.2,79.7,15.1,0.814,76.1,63.4,23.9
TREATMENT_SCHEDULING,1588,9.6,26.1,61.3,12.6,0.873,80.0,63.4,20.0
DIGITAL_COMMUNICATION,1307,7.9,3.0,67.7,29.3,0.844,73.6,69.2,26.4
TRANSPORTATION,1264,7.6,25.1,63.9,11.0,0.871,75.0,48.9,25.0
FATIGUE_WEAKNESS,1116,6.7,20.3,69.4,10.3,0.856,65.4,29.3,34.6
FINANCIAL_STRESS,1076,6.5,21.1,68.9,10.0,0.871,75.6,57.2,24.4
MEDICATION_SYMPTOM_MGT,1006,6.1,30.0,63.8,6.2,0.895,81.9,74.9,18.1
LANGUAGE_LITERACY,820,5.0,6.2,78.0,15.7,0.853,78.8,73.3,21.2
ADMIN_PAPERWORK,673,4.1,2.5,62.0,35.5,0.831,80.1,73.7,19.9
FOOD_BASIC_NEEDS,339,2.0,28.0,60.5,11.5,0.858,59.6,43.4,40.4
EMPLOYMENT_STRAIN,336,2.0,18.2,72.6,9.2,0.846,60.7,36.9,39.3
INFO_OVERLOAD,280,1.7,1.8,79.3,18.9,0.803,70.7,65.7,29.3
SYSTEM_FRAGMENTATION,129,0.8,3.9,88.4,7.8,0.802,75.2,68.2,24.8
DISCRIMINATION_STIGMA,43,0.3,0.0,72.1,27.9,0.787,83.7,65.1,16.3
HOUSING_INSTABILITY,30,0.2,40.0,60.0,0.0,0.851,60.0,56.7,40.0
SOCIAL_ISOLATION,29,0.2,10.3,62.1,27.6,0.795,48.3,31.0,51.7
ENVIRONMENTAL_SAFETY,12,0.1,41.7,41.7,16.7,0.775,100.0,75.0,0.0
