severity,metric,ci_lower,ci_upper
High,recognition_rate_percent,82.6,85.4
High,handling_rate_percent,53.7,57.8
High,missed_rate_percent,14.6,17.4
High,recognition_to_action_gap_points,26.4,30.1
Medium,recognition_rate_percent,74.7,76.7
Medium,handling_rate_percent,51.4,53.8
Medium,missed_rate_percent,23.3,25.3
Medium,recognition_to_action_gap_points,22.1,24.1
Low,recognition_rate_percent,62.0,65.7
Low,handling_rate_percent,45.3,49.5
Low,missed_rate_percent,34.3,38.0
Low,recognition_to_action_gap_points,14.8,17.9
